Country,Year,Age_Group,Sex,Deaths,Rate_per_100k,Region,Income_Level,Treatment_Access,Urban_Rural,Hospitalized,Notes
UK,2018,55-64,Female,805,7.5,East,Lower-Middle,Poor,Rural,Yes,Syphilis
Japan,2009,65+,Male,885,31.84,West,High,Good,Rural,Yes,Syphilis
Australia,2001,25-34,Female,498,47.48,South,Lower-Middle,Good,Urban,Yes,Syphilis
Brazil,2003,0-14,Male,942,49.84,West,Lower-Middle,Poor,Rural,Yes,Syphilis
Japan,2023,15-24,Male,528,18.82,North,Lower-Middle,Moderate,Rural,Yes,Syphilis
Canada,2005,0-14,Female,398,29.99,North,Upper-Middle,Moderate,Urban,No,Syphilis
South Africa,2006,25-34,Female,265,42.83,South,High,Moderate,Urban,Yes,Syphilis
USA,2015,55-64,Female,751,5.96,West,Low,Good,Rural,Yes,Syphilis
Brazil,2006,25-34,Female,263,34.51,North,Upper-Middle,Good,Rural,Yes,Syphilis
Australia,2017,45-54,Female,398,20.5,Central,Low,Moderate,Urban,Yes,Syphilis
India,2019,65+,Male,646,10.39,West,High,Good,Rural,Yes,Syphilis
Australia,2021,15-24,Male,725,20.2,South,High,Good,Urban,Yes,Syphilis
South Africa,2018,55-64,Male,527,3.89,West,High,Poor,Rural,Yes,Syphilis
Australia,2008,45-54,Female,436,34.8,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
Australia,2019,15-24,Female,840,12.71,East,Upper-Middle,Moderate,Rural,Yes,Syphilis
Germany,2009,25-34,Male,930,15.64,North,High,Moderate,Rural,No,Syphilis
UK,2012,25-34,Male,360,6.14,East,Low,Good,Rural,Yes,Syphilis
Japan,2017,35-44,Male,129,43.25,South,Lower-Middle,Good,Urban,Yes,Syphilis
India,2015,35-44,Male,864,24.72,North,Lower-Middle,Good,Urban,No,Syphilis
USA,2021,25-34,Female,634,28.65,South,Upper-Middle,Moderate,Urban,No,Syphilis
Australia,2016,25-34,Male,241,28.51,South,Upper-Middle,Good,Rural,Yes,Syphilis
India,2021,0-14,Female,627,20.58,East,Upper-Middle,Moderate,Rural,Yes,Syphilis
France,2012,65+,Male,709,9.71,East,Lower-Middle,Good,Urban,Yes,Syphilis
Australia,2011,0-14,Female,222,37.28,South,High,Moderate,Urban,No,Syphilis
Germany,2009,65+,Female,214,6.44,East,Low,Poor,Rural,Yes,Syphilis
Germany,2000,45-54,Female,916,5.28,East,High,Good,Rural,No,Syphilis
Brazil,2007,35-44,Female,592,35.54,East,Low,Moderate,Rural,No,Syphilis
Canada,2020,35-44,Male,775,10.52,West,High,Poor,Rural,No,Syphilis
South Africa,2021,25-34,Male,135,15.41,South,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2017,25-34,Male,818,23.81,Central,Low,Good,Urban,No,Syphilis
France,2001,45-54,Female,754,22.52,South,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2015,55-64,Male,386,35.46,North,Low,Good,Rural,Yes,Syphilis
South Africa,2011,55-64,Male,303,31.21,East,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2008,55-64,Male,782,32.26,East,High,Good,Urban,No,Syphilis
Germany,2002,35-44,Female,287,35.73,Central,Upper-Middle,Moderate,Urban,No,Syphilis
UK,2021,0-14,Female,562,14.7,North,Low,Poor,Rural,No,Syphilis
India,2020,55-64,Female,189,16.18,West,Lower-Middle,Good,Rural,Yes,Syphilis
USA,2003,15-24,Male,297,21.96,South,High,Good,Rural,No,Syphilis
UK,2001,45-54,Male,526,15.44,West,Upper-Middle,Good,Rural,No,Syphilis
UK,2007,55-64,Male,389,49.25,North,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2009,15-24,Female,459,40.72,Central,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2015,55-64,Male,744,8.32,North,High,Poor,Urban,Yes,Syphilis
UK,2022,0-14,Female,261,0.38,Central,High,Poor,Urban,Yes,Syphilis
Germany,2010,0-14,Female,704,2.23,West,High,Moderate,Urban,No,Syphilis
South Africa,2017,55-64,Female,925,12.28,West,Upper-Middle,Good,Rural,No,Syphilis
India,2021,15-24,Female,715,5.8,North,Low,Moderate,Rural,No,Syphilis
South Africa,2013,45-54,Male,773,26.71,North,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2007,15-24,Male,113,42.91,East,High,Good,Urban,No,Syphilis
South Africa,2022,45-54,Female,886,36.86,Central,Low,Moderate,Rural,No,Syphilis
India,2014,55-64,Male,864,10.86,East,Lower-Middle,Good,Urban,No,Syphilis
India,2016,45-54,Female,36,20.03,South,Upper-Middle,Good,Rural,No,Syphilis
Brazil,2020,25-34,Male,79,25.44,South,Low,Moderate,Rural,No,Syphilis
Japan,2017,35-44,Male,275,40.53,North,Upper-Middle,Poor,Rural,Yes,Syphilis
UK,2005,65+,Female,960,41.97,West,Lower-Middle,Moderate,Urban,No,Syphilis
Australia,2022,35-44,Female,278,45.49,South,High,Moderate,Urban,Yes,Syphilis
Brazil,2013,0-14,Female,674,25.51,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
Brazil,2022,25-34,Female,312,34.74,East,Low,Good,Rural,Yes,Syphilis
USA,2002,35-44,Male,529,5.68,East,High,Poor,Urban,Yes,Syphilis
Australia,2006,55-64,Female,204,28.31,South,Low,Poor,Rural,No,Syphilis
Canada,2014,45-54,Male,985,12.51,North,Lower-Middle,Good,Rural,Yes,Syphilis
USA,2020,45-54,Female,952,21.64,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Canada,2023,15-24,Male,17,31.74,South,High,Moderate,Urban,No,Syphilis
Japan,2015,15-24,Female,714,12.92,West,Low,Poor,Rural,Yes,Syphilis
France,2015,45-54,Male,476,2.7,East,Low,Good,Rural,No,Syphilis
Canada,2007,55-64,Male,511,0.61,South,Low,Poor,Rural,No,Syphilis
South Africa,2006,45-54,Male,210,1.21,Central,Low,Good,Rural,No,Syphilis
Canada,2005,15-24,Female,499,0.52,East,Lower-Middle,Moderate,Urban,No,Syphilis
Australia,2001,35-44,Female,402,5.61,Central,Low,Good,Urban,Yes,Syphilis
India,2021,0-14,Female,429,12.05,East,Lower-Middle,Poor,Urban,No,Syphilis
Australia,2012,15-24,Female,992,11.14,East,Low,Moderate,Rural,Yes,Syphilis
Japan,2011,55-64,Male,78,49.34,Central,Low,Poor,Rural,Yes,Syphilis
Brazil,2014,35-44,Male,568,15.37,North,Upper-Middle,Good,Rural,No,Syphilis
South Africa,2008,35-44,Male,80,6.46,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2001,35-44,Female,306,27.32,North,Low,Good,Rural,No,Syphilis
Japan,2016,25-34,Male,58,42.91,North,Lower-Middle,Poor,Rural,Yes,Syphilis
Brazil,2004,25-34,Male,530,33.94,South,Low,Good,Urban,Yes,Syphilis
Germany,2010,65+,Female,208,14.87,West,Upper-Middle,Poor,Urban,Yes,Syphilis
Australia,2021,35-44,Female,511,28.12,North,Low,Poor,Rural,Yes,Syphilis
Japan,2018,55-64,Male,977,35.77,North,Upper-Middle,Moderate,Urban,No,Syphilis
Australia,2023,45-54,Female,135,36.43,North,Low,Moderate,Rural,No,Syphilis
France,2006,55-64,Female,844,33.36,West,High,Good,Urban,Yes,Syphilis
Brazil,2001,25-34,Female,994,43.55,East,Low,Poor,Rural,Yes,Syphilis
Australia,2015,15-24,Female,522,43.52,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
India,2011,65+,Male,581,28.99,Central,Upper-Middle,Moderate,Urban,Yes,Syphilis
Canada,2022,25-34,Male,853,21.55,West,High,Moderate,Urban,No,Syphilis
USA,2014,45-54,Male,899,32.11,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2000,0-14,Male,83,40.93,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
USA,2012,65+,Male,621,0.38,West,Lower-Middle,Good,Rural,Yes,Syphilis
UK,2022,25-34,Female,44,49.6,South,Low,Good,Urban,No,Syphilis
Canada,2005,55-64,Male,483,9.23,Central,Lower-Middle,Good,Rural,Yes,Syphilis
France,2012,65+,Male,966,23.57,South,Low,Good,Urban,No,Syphilis
Japan,2017,55-64,Female,910,43.61,North,High,Moderate,Urban,No,Syphilis
India,2002,35-44,Female,644,11.33,Central,Lower-Middle,Good,Rural,Yes,Syphilis
Japan,2000,35-44,Female,493,23.89,West,Lower-Middle,Good,Rural,Yes,Syphilis
Germany,2014,35-44,Male,499,6.72,East,Upper-Middle,Good,Rural,Yes,Syphilis
UK,2012,65+,Female,18,19.81,Central,Lower-Middle,Moderate,Rural,No,Syphilis
India,2004,0-14,Female,605,8.94,Central,Low,Poor,Rural,No,Syphilis
Australia,2012,45-54,Female,995,18.25,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
Australia,2021,65+,Male,948,18.74,Central,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2004,15-24,Female,294,49.66,West,High,Poor,Urban,Yes,Syphilis
Australia,2018,55-64,Female,976,49.74,West,Low,Good,Rural,Yes,Syphilis
Brazil,2020,55-64,Male,148,5.83,East,Upper-Middle,Good,Urban,Yes,Syphilis
UK,2023,65+,Female,472,36.33,West,Low,Good,Rural,Yes,Syphilis
Brazil,2017,65+,Male,995,2.68,West,High,Moderate,Rural,Yes,Syphilis
Canada,2020,45-54,Male,172,1.61,North,Low,Moderate,Urban,Yes,Syphilis
South Africa,2021,0-14,Female,563,5.36,North,Low,Good,Urban,No,Syphilis
South Africa,2009,65+,Male,531,48.28,South,Lower-Middle,Moderate,Urban,No,Syphilis
Australia,2023,35-44,Female,120,47.05,East,Lower-Middle,Moderate,Urban,No,Syphilis
India,2007,45-54,Female,836,9.78,North,Low,Poor,Rural,Yes,Syphilis
Canada,2014,15-24,Female,737,8.17,East,Low,Moderate,Rural,Yes,Syphilis
Germany,2020,35-44,Female,66,12.1,East,Upper-Middle,Poor,Urban,Yes,Syphilis
UK,2019,15-24,Male,141,25.83,Central,High,Good,Urban,No,Syphilis
UK,2022,25-34,Female,446,28.53,East,Lower-Middle,Moderate,Rural,Yes,Syphilis
France,2021,15-24,Female,506,11.16,Central,Lower-Middle,Poor,Rural,No,Syphilis
Japan,2003,35-44,Female,189,37.86,South,Lower-Middle,Moderate,Urban,Yes,Syphilis
Australia,2001,25-34,Male,158,15.55,South,Lower-Middle,Poor,Rural,No,Syphilis
France,2023,35-44,Male,610,46.11,South,Low,Poor,Rural,Yes,Syphilis
Germany,2005,55-64,Female,670,32.87,Central,Low,Moderate,Urban,Yes,Syphilis
South Africa,2002,35-44,Male,947,21.87,Central,Upper-Middle,Good,Urban,No,Syphilis
USA,2006,25-34,Male,246,39.52,South,Lower-Middle,Poor,Urban,No,Syphilis
Germany,2009,15-24,Female,856,40.91,Central,Lower-Middle,Good,Urban,No,Syphilis
Germany,2022,55-64,Female,944,14.6,West,Low,Moderate,Rural,Yes,Syphilis
India,2005,0-14,Female,748,17.05,West,Upper-Middle,Moderate,Urban,No,Syphilis
India,2015,0-14,Female,33,46.8,Central,Low,Good,Rural,No,Syphilis
India,2001,0-14,Female,361,8.32,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
India,2023,0-14,Male,753,2.2,North,Lower-Middle,Poor,Rural,Yes,Syphilis
Japan,2016,45-54,Female,330,22.76,North,High,Good,Rural,No,Syphilis
Australia,2012,0-14,Female,512,40.08,East,High,Moderate,Urban,Yes,Syphilis
UK,2000,25-34,Female,850,38.61,East,High,Moderate,Rural,No,Syphilis
Australia,2005,65+,Female,787,45.98,East,Upper-Middle,Good,Urban,No,Syphilis
Australia,2004,0-14,Female,71,26.71,South,Low,Poor,Rural,No,Syphilis
UK,2012,35-44,Male,313,5.09,West,Lower-Middle,Good,Urban,Yes,Syphilis
India,2022,65+,Female,915,29.48,South,Lower-Middle,Moderate,Rural,No,Syphilis
Australia,2017,0-14,Male,728,38.94,Central,Upper-Middle,Moderate,Rural,No,Syphilis
Japan,2011,65+,Female,79,4.76,North,Lower-Middle,Good,Urban,Yes,Syphilis
India,2006,15-24,Female,169,8.72,Central,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2014,25-34,Female,810,0.71,Central,Low,Poor,Urban,No,Syphilis
France,2002,25-34,Male,983,29.72,North,High,Poor,Urban,No,Syphilis
Australia,2015,65+,Female,180,44.35,Central,High,Good,Rural,Yes,Syphilis
Brazil,2000,55-64,Female,628,33.57,East,Upper-Middle,Poor,Rural,No,Syphilis
Japan,2015,45-54,Female,260,49.1,North,High,Poor,Rural,Yes,Syphilis
France,2023,35-44,Female,486,3.25,Central,High,Poor,Rural,Yes,Syphilis
Canada,2011,65+,Female,772,45.16,East,Upper-Middle,Poor,Rural,No,Syphilis
Canada,2018,25-34,Female,5,40.72,East,Upper-Middle,Moderate,Urban,No,Syphilis
France,2007,15-24,Female,297,15.78,West,High,Good,Urban,Yes,Syphilis
South Africa,2022,0-14,Male,620,48.68,East,Low,Good,Rural,No,Syphilis
South Africa,2011,25-34,Female,855,14.47,South,Upper-Middle,Poor,Urban,No,Syphilis
India,2014,15-24,Female,360,44.48,North,Lower-Middle,Good,Rural,Yes,Syphilis
South Africa,2001,0-14,Female,117,44.05,North,Upper-Middle,Good,Rural,No,Syphilis
Canada,2016,45-54,Male,357,37.91,North,Lower-Middle,Moderate,Urban,No,Syphilis
South Africa,2006,25-34,Male,957,28.22,Central,Upper-Middle,Good,Rural,Yes,Syphilis
Brazil,2012,25-34,Female,843,6.09,Central,Upper-Middle,Moderate,Urban,No,Syphilis
Canada,2000,65+,Male,439,26.65,South,High,Good,Rural,Yes,Syphilis
Japan,2005,65+,Female,331,17.9,East,High,Moderate,Urban,Yes,Syphilis
Germany,2012,15-24,Female,525,39.63,Central,High,Moderate,Rural,No,Syphilis
South Africa,2010,55-64,Male,654,37.93,East,Low,Good,Rural,Yes,Syphilis
South Africa,2009,65+,Female,188,45.54,East,High,Moderate,Urban,No,Syphilis
Australia,2015,35-44,Male,968,0.84,Central,High,Moderate,Rural,No,Syphilis
UK,2023,45-54,Male,281,40.47,Central,Upper-Middle,Good,Rural,Yes,Syphilis
Brazil,2022,35-44,Male,511,46.93,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
Canada,2019,25-34,Female,466,39.49,West,Low,Moderate,Urban,Yes,Syphilis
Canada,2016,35-44,Female,115,6.6,North,Lower-Middle,Moderate,Urban,Yes,Syphilis
USA,2016,0-14,Female,940,4.16,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
UK,2003,45-54,Female,236,1.14,Central,Upper-Middle,Moderate,Urban,Yes,Syphilis
South Africa,2004,35-44,Female,338,31.47,East,Lower-Middle,Poor,Urban,No,Syphilis
France,2022,0-14,Female,522,31.52,West,Low,Moderate,Urban,No,Syphilis
Australia,2013,15-24,Female,199,49.35,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
Japan,2019,35-44,Male,764,19.96,West,High,Moderate,Urban,No,Syphilis
Australia,2009,45-54,Female,50,16.66,North,Low,Moderate,Rural,Yes,Syphilis
South Africa,2013,0-14,Female,940,31.26,East,Lower-Middle,Good,Rural,Yes,Syphilis
USA,2000,35-44,Female,142,41.3,South,Lower-Middle,Poor,Urban,No,Syphilis
Germany,2010,15-24,Male,783,46.85,North,High,Good,Rural,No,Syphilis
Canada,2022,35-44,Male,528,40.18,West,High,Poor,Rural,Yes,Syphilis
Japan,2017,0-14,Male,514,21.39,West,High,Moderate,Rural,Yes,Syphilis
UK,2015,35-44,Female,670,31.78,North,Low,Moderate,Rural,Yes,Syphilis
South Africa,2017,45-54,Male,30,42.83,West,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2007,25-34,Male,82,24.58,South,High,Poor,Urban,Yes,Syphilis
France,2009,0-14,Female,31,10.91,South,High,Good,Urban,Yes,Syphilis
Australia,2009,0-14,Female,748,8.57,West,Lower-Middle,Poor,Urban,No,Syphilis
USA,2004,0-14,Female,333,0.11,West,Upper-Middle,Moderate,Rural,No,Syphilis
Germany,2009,0-14,Male,660,35.94,South,Low,Good,Urban,No,Syphilis
India,2017,35-44,Female,177,5.64,West,Upper-Middle,Poor,Rural,Yes,Syphilis
France,2020,45-54,Female,370,12.27,Central,High,Poor,Rural,Yes,Syphilis
South Africa,2023,15-24,Female,547,14.96,East,Low,Good,Rural,No,Syphilis
Germany,2005,45-54,Female,535,28.06,Central,Upper-Middle,Poor,Rural,Yes,Syphilis
France,2002,0-14,Female,106,19.96,West,Lower-Middle,Moderate,Urban,Yes,Syphilis
France,2007,55-64,Female,97,33.77,West,High,Good,Rural,No,Syphilis
Canada,2008,35-44,Male,230,2.88,East,Low,Poor,Urban,No,Syphilis
France,2004,55-64,Female,227,6.28,West,Low,Moderate,Urban,Yes,Syphilis
Brazil,2001,35-44,Male,371,25.01,East,Low,Poor,Rural,No,Syphilis
Germany,2001,0-14,Male,100,16.91,South,Low,Good,Urban,No,Syphilis
South Africa,2006,35-44,Female,445,14.86,East,High,Poor,Urban,Yes,Syphilis
South Africa,2016,0-14,Male,468,3.44,East,High,Poor,Urban,Yes,Syphilis
Brazil,2009,45-54,Male,55,44.8,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
UK,2011,65+,Male,195,34.62,West,Lower-Middle,Moderate,Rural,Yes,Syphilis
Germany,2001,25-34,Female,520,6.17,South,Lower-Middle,Moderate,Rural,Yes,Syphilis
France,2009,35-44,Male,424,3.35,North,Upper-Middle,Poor,Urban,Yes,Syphilis
USA,2019,0-14,Male,315,48.75,East,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2000,55-64,Male,128,34.09,North,High,Good,Rural,No,Syphilis
Germany,2003,0-14,Male,32,20.93,West,Upper-Middle,Poor,Rural,No,Syphilis
India,2012,55-64,Female,93,35.12,East,High,Good,Urban,Yes,Syphilis
USA,2011,35-44,Female,519,37.84,North,Upper-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2010,15-24,Male,258,39.02,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
France,2009,55-64,Female,853,23.95,North,Lower-Middle,Good,Urban,Yes,Syphilis
UK,2014,0-14,Female,902,21.55,Central,Lower-Middle,Moderate,Urban,Yes,Syphilis
India,2004,35-44,Male,220,0.65,South,Upper-Middle,Good,Rural,No,Syphilis
UK,2016,0-14,Female,752,46.34,West,High,Moderate,Rural,Yes,Syphilis
UK,2004,15-24,Female,106,30.21,North,Low,Poor,Rural,No,Syphilis
Australia,2001,25-34,Male,548,10.24,East,High,Good,Rural,Yes,Syphilis
Canada,2008,65+,Male,416,45.99,West,Lower-Middle,Poor,Urban,No,Syphilis
India,2005,65+,Female,557,45.76,North,Upper-Middle,Good,Rural,No,Syphilis
Japan,2017,15-24,Female,810,49.46,East,Upper-Middle,Moderate,Rural,No,Syphilis
Canada,2013,45-54,Female,309,43.72,East,Lower-Middle,Good,Urban,No,Syphilis
India,2018,35-44,Female,366,49.89,East,Upper-Middle,Good,Urban,No,Syphilis
UK,2013,15-24,Male,521,12.31,East,Lower-Middle,Poor,Urban,No,Syphilis
Canada,2007,25-34,Male,459,42.13,North,High,Poor,Urban,No,Syphilis
India,2016,0-14,Male,599,41.17,South,Upper-Middle,Poor,Urban,Yes,Syphilis
Japan,2002,35-44,Male,370,11.62,Central,Low,Moderate,Urban,Yes,Syphilis
USA,2009,55-64,Male,331,5.01,Central,Upper-Middle,Poor,Urban,No,Syphilis
Germany,2016,15-24,Female,689,48.97,Central,Lower-Middle,Good,Rural,Yes,Syphilis
France,2010,25-34,Female,642,14.87,South,Low,Moderate,Rural,Yes,Syphilis
India,2007,15-24,Male,707,43.56,East,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2000,45-54,Male,11,0.31,East,Upper-Middle,Good,Rural,Yes,Syphilis
Germany,2012,65+,Male,818,1.15,West,Low,Good,Rural,No,Syphilis
Canada,2020,65+,Female,507,23.35,Central,Low,Moderate,Urban,Yes,Syphilis
India,2003,35-44,Female,419,12.01,Central,Upper-Middle,Good,Urban,No,Syphilis
India,2006,0-14,Female,122,34.52,East,Low,Poor,Urban,Yes,Syphilis
Brazil,2013,25-34,Male,911,28.32,Central,High,Good,Urban,No,Syphilis
India,2004,15-24,Male,235,3.97,East,Low,Poor,Urban,Yes,Syphilis
France,2023,35-44,Male,331,8.22,East,Low,Poor,Rural,Yes,Syphilis
Brazil,2010,15-24,Male,543,19.46,East,High,Moderate,Rural,Yes,Syphilis
Germany,2016,35-44,Male,348,9.36,North,Lower-Middle,Good,Urban,No,Syphilis
Canada,2004,65+,Female,958,39.63,North,Lower-Middle,Moderate,Urban,No,Syphilis
Canada,2019,45-54,Male,412,20.86,North,High,Moderate,Rural,Yes,Syphilis
South Africa,2002,15-24,Female,224,4.76,North,Low,Moderate,Rural,Yes,Syphilis
South Africa,2004,45-54,Female,153,24.27,South,Upper-Middle,Poor,Rural,No,Syphilis
Germany,2014,55-64,Female,212,4.63,West,High,Poor,Urban,Yes,Syphilis
Australia,2018,55-64,Female,92,6.53,West,Upper-Middle,Poor,Urban,Yes,Syphilis
Japan,2015,65+,Female,921,12.06,East,Lower-Middle,Poor,Rural,No,Syphilis
Australia,2007,25-34,Male,331,42.99,Central,High,Good,Urban,No,Syphilis
Japan,2012,45-54,Male,467,46.24,North,Upper-Middle,Good,Rural,Yes,Syphilis
Brazil,2015,35-44,Male,860,41.33,West,Low,Poor,Urban,No,Syphilis
Germany,2002,25-34,Female,641,16.77,West,High,Poor,Urban,Yes,Syphilis
Japan,2000,15-24,Female,955,13.7,North,Upper-Middle,Good,Rural,Yes,Syphilis
South Africa,2008,15-24,Female,709,27.5,South,High,Moderate,Rural,No,Syphilis
South Africa,2008,35-44,Female,970,36.12,South,High,Moderate,Urban,Yes,Syphilis
UK,2021,0-14,Female,554,49.67,West,Lower-Middle,Poor,Rural,No,Syphilis
Japan,2016,0-14,Female,878,6.67,South,Lower-Middle,Moderate,Urban,No,Syphilis
Germany,2023,15-24,Male,930,2.56,North,Low,Poor,Rural,Yes,Syphilis
USA,2001,65+,Female,228,34.75,West,Lower-Middle,Poor,Rural,No,Syphilis
Brazil,2008,65+,Female,194,41.63,North,Lower-Middle,Poor,Urban,Yes,Syphilis
India,2023,35-44,Male,530,42.33,South,Lower-Middle,Good,Urban,No,Syphilis
India,2018,0-14,Female,845,33.96,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
Japan,2012,45-54,Male,243,47.71,South,High,Good,Rural,No,Syphilis
Australia,2004,15-24,Male,389,25.6,South,Lower-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2008,55-64,Male,276,45.7,North,Upper-Middle,Good,Urban,Yes,Syphilis
Canada,2012,45-54,Female,450,48.39,South,High,Good,Rural,No,Syphilis
France,2000,35-44,Male,639,42.37,East,Lower-Middle,Poor,Urban,Yes,Syphilis
India,2014,55-64,Male,587,15.56,North,Lower-Middle,Poor,Urban,Yes,Syphilis
South Africa,2003,45-54,Female,574,9.89,East,High,Good,Urban,Yes,Syphilis
Brazil,2003,0-14,Male,478,27.45,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
Australia,2019,65+,Female,480,22.71,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
Germany,2009,0-14,Female,288,43.9,South,Low,Poor,Rural,Yes,Syphilis
Australia,2005,55-64,Male,698,5.09,West,High,Poor,Rural,No,Syphilis
Brazil,2023,25-34,Female,690,12.96,West,Low,Moderate,Urban,No,Syphilis
Canada,2011,65+,Female,678,37.61,East,Upper-Middle,Moderate,Rural,No,Syphilis
India,2019,15-24,Male,695,4.84,South,Lower-Middle,Moderate,Urban,No,Syphilis
South Africa,2015,55-64,Male,540,16.11,West,Low,Poor,Rural,Yes,Syphilis
USA,2002,35-44,Male,330,19.42,South,Upper-Middle,Moderate,Rural,Yes,Syphilis
Germany,2013,15-24,Male,470,31.17,North,Upper-Middle,Poor,Urban,No,Syphilis
South Africa,2000,45-54,Female,759,7.99,West,Lower-Middle,Good,Rural,Yes,Syphilis
Canada,2009,65+,Male,849,43.04,East,High,Good,Urban,No,Syphilis
France,2014,35-44,Male,534,22.43,West,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2006,35-44,Male,939,45.86,South,Low,Moderate,Urban,Yes,Syphilis
Canada,2003,0-14,Female,467,23.45,Central,Lower-Middle,Poor,Urban,No,Syphilis
India,2013,45-54,Female,977,13.82,Central,High,Moderate,Urban,Yes,Syphilis
Brazil,2023,0-14,Female,984,7.18,South,High,Poor,Urban,No,Syphilis
Brazil,2015,0-14,Female,420,0.29,North,High,Moderate,Urban,No,Syphilis
South Africa,2013,65+,Female,608,26.65,West,Upper-Middle,Good,Urban,No,Syphilis
France,2002,25-34,Male,122,5.45,Central,High,Poor,Rural,Yes,Syphilis
France,2016,0-14,Female,762,19.65,North,Upper-Middle,Moderate,Urban,Yes,Syphilis
Australia,2020,15-24,Female,891,29.5,South,Lower-Middle,Poor,Rural,No,Syphilis
USA,2013,35-44,Female,308,13.86,North,Lower-Middle,Poor,Urban,Yes,Syphilis
Canada,2017,65+,Male,932,8.84,South,High,Moderate,Rural,No,Syphilis
USA,2002,0-14,Male,924,38.76,West,Lower-Middle,Moderate,Urban,No,Syphilis
UK,2021,55-64,Female,334,47.34,North,Low,Poor,Urban,Yes,Syphilis
Japan,2018,15-24,Male,954,5.11,West,Low,Poor,Rural,No,Syphilis
Canada,2002,45-54,Female,420,7.86,North,Upper-Middle,Good,Urban,Yes,Syphilis
USA,2011,35-44,Male,326,48.0,South,High,Poor,Urban,Yes,Syphilis
India,2021,65+,Male,649,1.99,South,Upper-Middle,Good,Urban,Yes,Syphilis
Japan,2004,55-64,Female,789,48.88,North,Lower-Middle,Good,Urban,No,Syphilis
France,2009,65+,Male,832,0.33,South,High,Good,Rural,No,Syphilis
Canada,2008,65+,Female,844,43.7,East,Upper-Middle,Poor,Urban,Yes,Syphilis
Canada,2000,55-64,Female,573,15.44,East,High,Good,Rural,Yes,Syphilis
France,2012,45-54,Female,250,46.94,West,High,Poor,Urban,No,Syphilis
Australia,2002,55-64,Male,990,15.92,East,Upper-Middle,Poor,Urban,Yes,Syphilis
India,2018,15-24,Male,95,32.75,East,High,Moderate,Urban,Yes,Syphilis
Canada,2010,65+,Female,296,4.09,Central,Lower-Middle,Poor,Urban,No,Syphilis
USA,2015,45-54,Female,184,12.19,Central,Low,Poor,Rural,No,Syphilis
Canada,2005,65+,Male,260,38.71,Central,Low,Good,Urban,No,Syphilis
Japan,2023,55-64,Female,799,26.48,Central,High,Poor,Urban,Yes,Syphilis
Canada,2002,45-54,Male,667,46.41,South,Low,Poor,Urban,No,Syphilis
USA,2018,45-54,Male,186,21.49,West,High,Moderate,Rural,No,Syphilis
Germany,2005,0-14,Male,409,43.5,West,Upper-Middle,Moderate,Rural,No,Syphilis
Japan,2007,0-14,Female,69,22.5,East,Lower-Middle,Good,Rural,No,Syphilis
South Africa,2021,0-14,Female,838,48.96,West,Low,Good,Rural,No,Syphilis
South Africa,2012,55-64,Male,773,48.0,East,Upper-Middle,Moderate,Urban,No,Syphilis
Japan,2011,35-44,Female,627,16.52,West,Lower-Middle,Moderate,Urban,No,Syphilis
India,2009,15-24,Female,859,44.31,North,Low,Poor,Rural,Yes,Syphilis
Germany,2002,55-64,Male,8,42.4,North,Low,Good,Urban,No,Syphilis
Japan,2003,65+,Male,265,10.61,West,Lower-Middle,Good,Urban,Yes,Syphilis
USA,2000,0-14,Female,783,31.25,South,Upper-Middle,Poor,Rural,Yes,Syphilis
UK,2012,45-54,Male,484,3.73,East,Upper-Middle,Poor,Urban,No,Syphilis
Brazil,2023,55-64,Female,761,41.85,West,Low,Good,Rural,Yes,Syphilis
Canada,2003,45-54,Male,617,8.81,East,Lower-Middle,Moderate,Rural,No,Syphilis
Australia,2021,65+,Male,775,3.63,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
